Technology,Horizon,Theme,Description,Status,Order,Note
Hyperspectral Imaging,1,Acquisition and Analytics,"Collects and processes information from across the electromagnetic spectrum. Combines the power of digital imaging and spectroscopy. For each pixel in an image, a hyperspectral camera acquires the light intensity (radiance) for a large number (typically a few tens to several hundred) of contiguous spectral bands.",ok,10,
Cryptocurrencies,1,Blockchain,"A digital currency in which encryption techniques are used to regulate the generation of units of currency and verify the transfer of funds, typically operating independently of a central bank. The most well-known is bitcoin where a record of transactions is maintained and new units of currency are generated by the computational solution of mathematical problems.",ok,20,
Reward Based Learning,1,Autonomy & Intelligence,"Rewards-based learning is an approach to learning rooted in reinforcement theory. According to reinforcement theory, positive reinforcement is an effective way to promote desirable change in behavior.",ok,30,
Tokenization,1,Blockchain,"Tokenization is the representation of assets, voting rights, rewards, securities, or other financial entities as tokens on public blockchains. This is differentiated from digital representation on legacy financial systems as tokens drive incentives for decentralized applications and experience more liquidity in the ability to trade and exchange on an open platform.",new,40,split out from blockchain
Security Orchestration AI/ML/Graph,1,Digital Security,"A system that intelligently manages the digital security of a system or entity through the use of AI, ML, or other tools. This technology secures digital enterprise systems through intelligent, automated systems as opposed to reactive, manual adjustments.",ok,50,
Knowledge Graphs,1,Autonomy & Intelligence,Description needed,moved,60,in 2021 moved from H3
M2M Communication,1,Connected Devices,"Two machines ""communicating"" or exchanging data, without human interfacing or interaction. This includes serial connection, powerline connection (PLC), or wireless communications in the industrial Internet of Things (IoT)",strike,70,removed in 2021
Machine Teaching,1,Autonomy & Intelligence,"A new paradigm of ML where we focus on extracting knowledge from teachers and abstracting away the ML algorithms, it's a halfway house between expert systems and ML, Microsoft is embracing it big time.",new,80,
Head Mounted Displays Ex,1,Advanced Collaboration & Visualization,"Head-mounted display (HMD) is a display device, worn on the head or as part of a helmet, that has a small display optic in front of the eye(s). The displays can show a computer-generated image allowing the user to be immersed in a virtual reality world",ok,90,removed in 2021
Low-Power Wide-Area Network (LPWAN),2,Connected Devices,"LPWAN allows long range communications at a low bit rate and low power. This is a key enabler for the Internet of Things (IoT), to poll data from a myriad of sensors and bring it back to data lakes for analysis. A new set of technologies is emerging to support this need, using innovative radio techniques.",ok,10,
