name,ring,quadrant,isNew,description
Hyperspectral Imaging,Wave 1,Techniques,FALSE,"Collects and processes information from across the electromagnetic spectrum. Combines the power of digital imaging and spectroscopy. For each pixel in an image, a hyperspectral camera acquires the light intensity (radiance) for a large number (typically a few tens to several hundred) of contiguous spectral bands."
Reward Based Learning,Wave 1,Techniques,TRUE,"Rewards-based learning is an approach to learning rooted in reinforcement theory. According to reinforcement theory, positive reinforcement is an effective way to promote desirable change in behavior."
Cryptocurrencies,Wave 1,Techniques,FALSE,"A digital currency in which encryption techniques are used to regulate the generation of units of currency and verify the transfer of funds, operating independently of a central bank. Bitcoin -  type of digital currency in which a record of transactions is maintained and new units of currency are generated by the computational solution of mathematical problems."
Serverless + Inmemory Computing,Wave 1,Techniques,FALSE,"Refer to applications that significantly depend on third-party services (known as Backend as a Service or ""BaaS"")"
Tokenization,Wave 1,Techniques,TRUE,Tokenization
Graph Search,Wave 1,Techniques,TRUE,Graph Search or Traversal Algorithms are algorithms to specify an order to search through the nodes of a graph. The search starts at the source node and keep searching until we find the target node going through multiple unexplored nodes seeking the shortest path to resolution.
Security Orchestration,Wave 1,Techniques,TRUE,Security Orchestration
Head Mounted Displays Ex,Wave 1,Techniques,FALSE,"Head-mounted display (HMD) is a display device, worn on the head or as part of a helmet, that has a small display optic in front of the eye(s). The displays can show a computer-generated image allowing the user to be immersed in a virtual reality world"
M2M Communication,Wave 1,Techniques,FALSE,"Is exactly as it sounds: two machines “communicating,” or exchanging data, without human interfacing or interaction. This includes serial connection, powerline connection (PLC), or wireless communications in the industrial Internet of Things (IoT)"
Optical Computing,Wave 1,Techniques,TRUE,"Also called a photonic computer is a device that uses the photons in visible light or infrared ( IR ) beams,rather than electric current, to perform digital computations. A commercial optical computer is available today from a company called Optalysys.   This is not a general-purpose machine that replaces traditional electronic gates with optical components."
5G,Horizon 2,Techniques,TRUE,"5th generation cellular (5G) describes the next-generation of mobile networks beyond the 4G LTE mobile networks of today. The vision of 5G is blazingly fast network speeds (Gbps)to enable widespread use of bandwidth hungry mobile applications such as VR and AR, and very low latency (milliseconds) which can support real time applications such as robotic vehicles."
Advanced 3D  Scanning,Horizon 2,Techniques,FALSE,is the process of capturing digital information about the shape of an object with equipment that uses a laser or light to measure the distance between the scanner and the object.
Blockchain,Horizon 2,Techniques,FALSE,"Is a digital, public ledger that records online transactions. The name comes from its structure, in which individual records, called blocks, are linked together in single list, called a chain. Blockchains are used for recording transactions made with cryptocurrencies, such as Bitcoin, and have many other applications. Each transaction added to a blockchain is validated by multiple computers on the Internet. These systems, which are configured to monitor specific types of blockchain transactions, form a peer-to-peer network. They work together to ensure each transaction is valid before it is added to the blockchain. This decentralized network of computers ensures a single system cannot add invalid blocks to the chain."
Cobots,Horizon 2,Techniques,TRUE,"Short for Collaborative robots (also called co-bots). Cobots are designed to work alongside human workers, assisting them with a variety of tasks. They are generally affordable, highly adaptable, and almost plug-and-play."
Decentralized Finance (DeFi),Horizon 2,Quadrant 2,TRUE,"Codified, decentralized financial infrastructure that enables users to deal directly with each other versus through a centralized third party institution – most traditionally built on blockchain or other systems. These applications are disintermediating various financial functions."
Distributed Learning,Horizon 2,Quadrant 3,FALSE,"Distributed learning is an instructional model that allows instructor, students, and content to be located in different, noncentralized locations so that instruction and learning can occur independent of time and place. The distributed learning model can be used in combination with traditional classroom-based courses and traditional distance education courses."
